ITEM,AÑO,MES        ,ANCÓN,ATE,BARRANCO,BREÑA,CARABAYLLO,CENTRO POBLADO SANTA MARÍA DE HUACHIPA,CERCADO,CHACLACAYO,CHORRILLOS,CIENEGUILLA,COMAS,EL AGUSTINO,INDEPENDENCIA,JESÚS MARÍA ,LA MOLINA,LA VICTORIA,LINCE,LOS OLIVOS ,LURIGANCHO - CHOSICA,LURIN,MAGDALENA DEL MAR,PACHACAMAC,PUCUSANA,PUEBLO LIBRE,PUENTE PIEDRA,PUNTA HERMOSA,PUNTA NEGRA,RIMAC,SAN BARTOLO,SAN BORJA ,SAN ISIDRO,SAN JUAN DE MIRAFLORES,SAN JUAN DE LURIGANCHO,SAN LUIS,SAN MARTIN DE PORRES,SAN MIGUEL,SANTA ANITA,SANTA MARÍA DEL MAR,SANTA ROSA,SANTIAGO DE SURCO,SURQUILLO,VILLA EL SALVADOR,VILLA MARÍA DEL TRIUNFO,TOTAL
1,2024,ENERO,"1,070",550,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,920"
2,2024,FEBRERO,500,280,0,0,0,0,0,0,900,0,20,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1500,0,"3,213"
3,2024,MARZO,0,730,0,0,300,0,18,0,"3,006",0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,554"
4,2024,ABRIL,100,703,0,80,470,0,0,0,0,0,0,33,0,0,0,100,0,"1,000",330,0,0,37,70,0,0,0,0,202,0,0,0,100,70,0,60,0,630,0,722,0,0,283,9,"4,999"
5,2024,MAYO,"1,000",330,0,0,"1,303",0,4,0,0,0,"2,620",0,0,0,0,0,0,500,170,0,0,180,120,0,"1,000",100,0,0,0,0,0,408,80,0,50,0,0,0,175,0,0,"1,935",80,"10,055"
6,2024,JUNIO ,109,475,700,0,340,0,2,220,"1,116",0,"2,800",0,6,0,0,0,0,0,"1,500",0,"1,200",524,0,0,40,0,500,120,20,0,0,420,0,0,0,0,700,0,"1,705",475,0,"2,944","1,717","17,633"
7,2024,JULIO,"1,618","1,400",200,0,"1,130",800,0,0,200,0,"1,000",0,"1,200",0,0,520,50,0,0,100,"1,100",126,400,100,414,0,"1,100",400,0,0,0,0,200,0,836,0,0,400,910,0,0,"1,594",300,"16,098"
8,2024,AGOSTO,560,150,0,0,"1,034",0,29,0,836,0,"1,091",100,680,0,900,105,50,0,0,380,"3,210",950,138,0,"1,000",0,900,149,0,0,288,0,150,0,70,0,0,0,"1,430",0,0,314,290,"14,804"
9,2024,SETIEMBRE,0,300,600,0,"1,110",0,70,220,940,0,0,0,95,0,0,0,300,25,0,250,500,400,0,220,0,0,0,0,210,0,0,"2,120",40,0,50,0,"1,040",0,300,200,0,"1,600","4,200","14,790"
10,2024,OCTUBRE,100,250,0,0,840,0,605,0,470,250,500,50,800,0,0,0,0,0,10,350,"1,000",750,0,0,100,0,0,300,0,0,0,136,105,0,0,0,500,0,650,0,0,"1,200",0,"8,966"
11,2024,NOVIEMBRE,800,"1,370",0,0,"1,730",0,0,0,784,100,900,0,0,0,0,10,0,0,65,0,"1,730","1,800",0,0,"1,700",0,850,0,0,0,0,631,250,0,100,0,120,0,200,525,0,126,0,"13,791"
12,2024,DICIEMBRE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,,"5,857","6,538","1,500",80,"8,257",800,728,440,"8,252",350,"9,731",183,"2,781",0,900,735,400,"1,528","2,075","1,080","8,740","4,767",728,320,"4,254",100,"3,350","1,171",230,0,288,"3,815",905,0,"1,166",0,"2,990",400,"6,092","1,200",0,"11,496","6,596","110,823"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
